ID,SYMBOL,TERM,DESCRIPTION,MASS,TYPE_ID,ATTRIBUTE_TYPE
1,"H","Hydrogen",,1.00794,8,"atomic_element"
2,"He","Helium",,4.002602,5,"atomic_element"
3,"Li","Lithium",,6.941,1,"atomic_element"
4,"Be","Berylium",,9.012182,2,"atomic_element"
5,"B","Boron",,10.811,8,"atomic_element"
6,"C","Carbon",,12.0107,8,"atomic_element"
7,"N","Nitrogen",,14.0067,8,"atomic_element"
8,"O","Oxygen",,15.9994,8,"atomic_element"
9,"F","Fluorine",,18.9984032,4,"atomic_element"
10,"Ne","Neon",,20.1797,5,"atomic_element"
11,"Na","Sodium",,22.98976,1,"atomic_element"
12,"Mg","Magnesium",,24.305,2,"atomic_element"
13,"Al","Aluminium",,26.9815386,7,"atomic_element"
14,"Si","Silicon",,28.0855,8,"atomic_element"
15,"P","Phosphorus",,30.973762,8,"atomic_element"
16,"S","Sulfur",,32.065,8,"atomic_element"
17,"Cl","Chlorine",,35.453,4,"atomic_element"
18,"Ar","Argon",,39.948,5,"atomic_element"
19,"K","Potassium",,39.0983,1,"atomic_element"
20,"Ca","Calcium",,40.078,2,"atomic_element"
21,"Sc","Scandanium",,44.955912,3,"atomic_element"
22,"Ti","Titanium",,47.867,3,"atomic_element"
23,"V","Vanadium",,50.9415,3,"atomic_element"
24,"Cr","Chromium",,51.9961,3,"atomic_element"
25,"Mn","Manganese",,54.938045,3,"atomic_element"
26,"Fe","Iron",,55.845,3,"atomic_element"
27,"Co","Cobalt",,58.933195,3,"atomic_element"
28,"Ni","Nickel",,58.6934,3,"atomic_element"
29,"Cu","Copper",,63.546,3,"atomic_element"
30,"Zn","Zinc",,65.38,3,"atomic_element"
31,"Ga","Gallium",,69.723,7,"atomic_element"
32,"Ge","Germanium",,72.63,7,"atomic_element"
33,"As","Arsenic",,74.9216,8,"atomic_element"
34,"Se","Seenium",,78.96,8,"atomic_element"
35,"Br","Bromine",,79.904,4,"atomic_element"
36,"Kr","Krypton",,83.798,5,"atomic_element"
37,"Rb","Rubidium",,85.4678,1,"atomic_element"
38,"Sr","Strontium",,87.62,2,"atomic_element"
39,"Y","Yttrium",,88.90585,3,"atomic_element"
40,"Zr","Zirconium",,91.224,3,"atomic_element"
41,"Nb","Niobium",,92.90638,3,"atomic_element"
42,"Mo","Molybendum",,95.96,3,"atomic_element"
43,"Tc","Technetium",,98,3,"atomic_element"
44,"Ru","Ruthenium",,101.07,3,"atomic_element"
45,"Rh","Rhodium",,102.9055,3,"atomic_element"
46,"Pd","Palladium",,106.42,3,"atomic_element"
47,"Ag","Silver",,107.8682,3,"atomic_element"
48,"Cd","Cadmium",,112.41,3,"atomic_element"
49,"In","Indium",,114.82,7,"atomic_element"
50,"Sn","Tin",,118.71,7,"atomic_element"
51,"Sb","Antimony",,121.75,7,"atomic_element"
52,"Te","Tellurium",,127.6,8,"atomic_element"
53,"I","Iodine",,126.9045,4,"atomic_element"
54,"Xe","Xenon",,131.29,5,"atomic_element"
55,"Cs","Cesium",,132.9054,1,"atomic_element"
56,"Ba","Barium",,137.33,2,"atomic_element"
57,"La","Lanthanum",,138.9055,3,"atomic_element"
58,"Ce","Cerium",,140.12,6,"atomic_element"
59,"Pr","Praseodymium",,140.9077,6,"atomic_element"
60,"Nd","Neodymium",,144.24,6,"atomic_element"
61,"Pm","Promethium",,145,6,"atomic_element"
62,"Sm","Samarium",,150.36,6,"atomic_element"
63,"Eu","Europium",,151.96,6,"atomic_element"
64,"Gd","Gadolinium",,157.25,6,"atomic_element"
65,"Tb","Terbium",,158.93,6,"atomic_element"
66,"Dy","Dysprosium",,162.5,6,"atomic_element"
67,"Ho","Holmium",,164.93,6,"atomic_element"
68,"Er","Erbium",,167.26,6,"atomic_element"
69,"Tm","Thulium",,168.93,6,"atomic_element"
70,"Yb","Ytterbium",,173.04,6,"atomic_element"
71,"Lu","Lutetium",,174.97,6,"atomic_element"
72,"Hf","Hafnium",,178.49,3,"atomic_element"
73,"Ta","Tantanium",,180.9479,3,"atomic_element"
74,"W","Tungsten",,183.95,3,"atomic_element"
75,"Re","Rhenium",,186.207,3,"atomic_element"
76,"Os","Osmium",,190.2,3,"atomic_element"
77,"Ir","Iridium",,192.22,3,"atomic_element"
78,"Pt","Platinum",,195.08,3,"atomic_element"
79,"Au","Gold",,196.9665,3,"atomic_element"
80,"Hg","Mercury",,200.59,3,"atomic_element"
81,"Tl","Thallium",,204.383,7,"atomic_element"
82,"Pb","Lead",,207.2,7,"atomic_element"
83,"Bi","Bismuth",,208.9804,7,"atomic_element"
84,"Po","Polonium",,209,7,"atomic_element"
85,"At","Astatine",,210,4,"atomic_element"
86,"Rn","Radon",,222,5,"atomic_element"
87,"Fr","Francium",,223,1,"atomic_element"
88,"Ra","Radium",,226,2,"atomic_element"
89,"Ac","Actinium",,227,3,"atomic_element"
90,"Th","Thorium",,232,6,"atomic_element"
91,"Pa","Protactinium",,231,6,"atomic_element"
92,"U","Uranium",,238,6,"atomic_element"
93,"Np","Neptunium",,237,6,"atomic_element"
94,"Pu","Plutonium",,244,6,"atomic_element"
95,"Am","Americium",,243,6,"atomic_element"
96,"Cm","Curium",,247,6,"atomic_element"
97,"Bk","Berkelium",,247,6,"atomic_element"
98,"Cf","Californium",,251,6,"atomic_element"
99,"Es","Einsteinium",,252,6,"atomic_element"
100,"Fm","Fermium",,257,6,"atomic_element"
101,"Md","Mendelevium",,258,6,"atomic_element"
102,"No","Nobelium",,259,6,"atomic_element"
103,"Lr","Lawrencium",,262,6,"atomic_element"
104,"Rf","Rutherfordium",,263.1,3,"atomic_element"
105,"Db","Dubnium",,262.1,3,"atomic_element"
106,"Sg","Seaborgium",,266.1,3,"atomic_element"
107,"Bh","Bohrium",,264.1,3,"atomic_element"
108,"Hs","Hassium",,269.1,3,"atomic_element"
109,"Mt","Meitnerium",,268.1,3,"atomic_element"
110,"Ds","Darmstadtium",,272.1,3,"atomic_element"
111,"Rg","Roentgenium",,272.1,3,"atomic_element"
112,"Uub","Ununium",,277,5,"atomic_element"
113,"Uut","Ununtrium",,284,5,"atomic_element"
114,"Uuq","Ununquadium",,289,5,"atomic_element"
115,"Uup","Ununpentum",,288,5,"atomic_element"
116,"Uuh","Ununhexium",,292,5,"atomic_element"
117,"Uus","Ununseptium",,292,5,"atomic_element"
118,"Uuo","Ununoctium",,294,5,"atomic_element"
